study,Participant_Num,Parameter,q2.5,q25,q50,q75,q97.5
s1,28,lambda,0.07451585893867518,0.09952958986463348,0.11655493346991183,0.13796603116932507,0.1989508563811419
s1,29,lambda,0.07974609587073431,0.13158134792190637,0.17200926835304053,0.2294476925793448,0.41877490848534055
s1,30,lambda,0.0,0.0,0.0,0.0,0.21588598448960997
s1,31,lambda,0.0,0.0,0.0,0.0,0.20573311026417904
s1,32,lambda,0.0,0.0,0.0,0.09307521671193443,0.3884076287643387
s1,33,lambda,0.0,0.0,0.0,0.09998673093699777,0.32305337728230515
s1,34,lambda,0.0,0.0,0.0,0.0,0.20017589579532485
s1,35,lambda,0.04088476862107574,0.06920331635611768,0.09663467407245553,0.13842299601195762,0.28013094543925754
s1,36,lambda,7.029703492893188e-05,0.0008057585192300931,0.001858683687339446,0.0033196762755694836,0.007646895678468325
s1,37,lambda,0.0,0.0,0.14766528342352464,0.30991933237525915,0.5761899967804371
s1,38,lambda,0.0315888324148402,0.05506696832181215,0.07564874804100694,0.10757698789897552,0.23123015090944274
s1,39,lambda,0.0,0.0,0.0,0.0,0.203510089397993
s1,40,lambda,0.10555856642385612,0.13807215824700558,0.16027641502137785,0.18899392175073193,0.276342161337796
s2,1,lambda,0.10776606576538976,0.13140528912559163,0.14596379055503114,0.16289446711684014,0.20523881394722912
s2,2,lambda,0.004079792727747799,0.004834119408717086,0.0052629259643819475,0.007250554850617992,0.0140112456580898
s2,3,lambda,0.000473566591633291,0.0009712290463303581,0.001288646011185446,0.0016724777313424895,0.0027898843677806634
s2,4,lambda,0.009197759542502609,0.014163248083333187,0.021241560794378965,0.03419585856304116,0.05724914662784337
s2,5,lambda,0.004229944948156936,0.004756639026332275,0.005008864349326484,0.005192019980733433,0.00800489210062839
s2,6,lambda,0.08130675218651626,0.1343026058685021,0.16786835414481777,0.20816274059976775,0.31610332617635467
s2,7,lambda,0.0,0.00015482186380726928,0.0004049076263959233,0.0008312085168958358,0.0028006441560795704
s2,8,lambda,0.0038800425627159253,0.004590786617519161,0.0049333436187367005,0.005197517303266352,0.011866603926722043
s2,9,lambda,0.06539651050778204,0.08909680083561371,0.10367843984237775,0.11963438224157626,0.15370706811539805
s2,10,lambda,0.12240069085777062,0.14918629281789897,0.16613638103902775,0.18481634343018927,0.2261336735674539
s2,11,lambda,0.1222274822528553,0.16088835695565712,0.18584914319790152,0.21551882932417743,0.29335181801070115
s2,12,lambda,0.04945618710905662,0.06788863134969689,0.07777851191267861,0.08830654930391657,0.11067314537327384
s2,13,lambda,0.0011797343301932367,0.001635015246755294,0.0019237361052859856,0.002256303711898095,0.0031344018048959066
s2,14,lambda,0.007113417629355387,0.009471666913550818,0.012132070433867645,0.051044732285695324,0.08009176880245653
s2,15,lambda,0.0,0.0021411235595263562,0.022345564139680862,0.09616428772127726,0.2446014431929609
s2,16,lambda,0.004696908903417601,0.00975912726684863,0.02614189629559012,0.03683718822443377,0.056025997659306305
s2,17,lambda,0.08244215400681967,0.14213151418113587,0.21527958792964608,0.24627872477903534,0.30612298928842
s2,18,lambda,0.011931969159246275,0.02491442823740987,0.03499001551210221,0.0478774787036184,0.12402540607492438
s2,19,lambda,0.0602165269150488,0.07677227355255835,0.08600747182164238,0.09604561297484325,0.11851609934183363
s2,20,lambda,0.03455238192192399,0.11562668195563103,0.14212621041799176,0.16485735823798486,0.2093599256792151
s2,21,lambda,0.020057088576123257,0.03278828488605316,0.04452272643685958,0.06152963408201905,0.10882319192994828
s2,22,lambda,0.025936707924175673,0.04519574280044998,0.05609304313574124,0.06750407259754043,0.09155954914783979
s2,23,lambda,0.1802599559650398,0.2302687084960384,0.2625961581472747,0.29950976380895517,0.38841657516096884
s2,24,lambda,0.012695747980878852,0.0496152900268827,0.06618980334594265,0.08018520388650155,0.10656990191143793
s2,25,lambda,0.09642618068557343,0.13571376998933096,0.16103276314891582,0.19071468500134403,0.2715408829907199
s2,26,lambda,0.11475538017832991,0.1680846075104471,0.1981921464661089,0.23108687251536236,0.3071654572529978
s2,27,lambda,0.0,0.0,0.0008880826648038213,0.009546470572395205,0.2341584579167925
s2,28,lambda,0.02724512618265877,0.04329868107081375,0.05246644990010835,0.06206226357835874,0.08182026698664066
s2,29,lambda,0.026307028014176552,0.03850392403086695,0.04623608470962245,0.054750310267382876,0.07348271028908274
s2,30,lambda,0.010755052560558325,0.016442360727277536,0.020578421301287696,0.025976893902842163,0.0400833747669001
s2,31,lambda,0.09699119720479751,0.11863256716029226,0.1316341022818013,0.14660621308656596,0.18254966459380123
s2,32,lambda,0.007308184715883069,0.04220255913926936,0.07136335900903161,0.0939648693966094,0.13813622848676013
s2,33,lambda,0.08110479616860104,0.10273506937491615,0.1162761322022726,0.13189010111405244,0.17172688742940526
s2,34,lambda,0.020200802773583604,0.026965142419376573,0.03149741568024628,0.036682276784707694,0.047677951231348895
s2,35,lambda,0.035899609993277404,0.060639519491929486,0.07503364505199873,0.09003114346694341,0.12495990371450767
s2,36,lambda,0.06311691271616751,0.0800458619720313,0.08929574790775796,0.09934303178072243,0.12139519766225772
s2,37,lambda,0.006235532578213622,0.009901847772800733,0.013459551301866561,0.01944507805649517,0.044526691888634846
s2,38,lambda,0.00022671102959394775,0.0012166527570506005,0.0021075593335762345,0.0033255848646750233,0.09008495446097009
s2,39,lambda,0.16547223441811687,0.2056586669142928,0.23237232614304976,0.26460455147452344,0.34486636087397476
s2,40,lambda,0.0019162038571432433,0.0031402818154650626,0.0064123802979588005,0.03824743052494361,0.08441365054794422
