Participant_Num,Stimulus,Predicted_Mean,Observed_Mean
16,CS+,7.446081584518342,7.472222222222222
16,S2,6.135066962588846,6.833333333333333
16,S3,4.813023134329556,5.416666666666667
16,S4,3.444878064105612,3.6666666666666665
16,S5,2.3994972211429655,2.0
16,S6,1.82242309979657,1.4166666666666667
16,S7,1.431467491111816,2.1666666666666665
16,S8,1.1968069105535575,1.25
16,S9,1.086874060327396,1.25
16,CS-,1.0484842568555,1.125
17,CS+,4.096484538451593,8.916666666666666
17,S2,2.612367996522658,4.545454545454546
17,S3,1.769502523392626,1.0833333333333333
17,S4,1.4172062177841251,1.3333333333333333
17,S5,1.2908056392756597,1.0
17,S6,1.2007697290494226,1.2727272727272727
17,S7,1.113513724354989,1.0
17,S8,1.077099856145787,1.0
17,S9,1.0547843687895908,1.0
17,CS-,1.0421943923078005,1.0
18,CS+,5.864338940713064,5.285714285714286
18,S2,4.650321491162582,3.9166666666666665
18,S3,3.8230301003320912,5.833333333333333
18,S4,3.058819207885165,2.5
18,S5,2.539269274134092,2.3333333333333335
18,S6,2.1511978221060906,1.5
18,S7,1.8319529140186215,1.1666666666666667
18,S8,1.543080299592821,1.0833333333333333
18,S9,1.3444646338429138,1.0833333333333333
18,CS-,1.2050712271416681,1.0869565217391304
19,CS+,9.529326121201244,9.083333333333334
19,S2,5.251989845142114,5.454545454545454
19,S3,2.383262555092104,2.25
19,S4,1.7036207556181995,1.5833333333333333
19,S5,1.423254246831862,1.0833333333333333
19,S6,1.2526384192149567,1.3636363636363635
19,S7,1.1456540641158253,1.1666666666666667
19,S8,1.0536606470525784,1.0
19,S9,1.0074307705132097,1.1818181818181819
19,CS-,0.9974294507731726,1.0416666666666667
20,CS+,5.11741298778914,8.38888888888889
20,S2,4.6752587072625795,5.666666666666667
20,S3,4.1720889772792145,5.166666666666667
20,S4,3.660819544202966,3.6666666666666665
20,S5,3.253041682008586,2.8333333333333335
20,S6,2.8360517182525675,2.9166666666666665
20,S7,2.551717732382429,1.8333333333333333
20,S8,2.2858913206890255,2.0833333333333335
20,S9,2.0813941720235247,1.4166666666666667
20,CS-,1.9133719497419528,1.1666666666666667
21,CS+,8.317723748962296,9.5
21,S2,7.822301318668377,9.75
21,S3,7.236359998626637,4.75
21,S4,6.476834807745158,2.1666666666666665
21,S5,5.704695174910846,2.6666666666666665
21,S6,4.858392866070718,1.25
21,S7,4.012546092803988,1.3333333333333333
21,S8,3.325989040210438,1.4166666666666667
21,S9,2.7889740626356154,1.25
21,CS-,2.3692570590141044,1.2916666666666667
22,CS+,7.589147493841621,7.0
22,S2,5.020153895948677,6.083333333333333
22,S3,3.6390912231245847,2.6666666666666665
22,S4,2.7118459360630425,2.5
22,S5,2.1891558131187474,1.9166666666666667
22,S6,1.7916154646273794,1.75
22,S7,1.5105929877748951,1.0
22,S8,1.28512830408843,1.0
22,S9,1.1139145619863433,1.0
22,CS-,1.0285150120983353,1.0
23,CS+,3.006142472534469,9.694444444444445
23,S2,2.345006295796021,4.833333333333333
23,S3,1.9356362911792715,1.25
23,S4,1.5336722941091823,1.0
23,S5,1.314780883640482,1.0
23,S6,1.2102488618446299,1.25
23,S7,1.1256309375977054,1.0833333333333333
23,S8,1.0900501057233172,1.0
23,S9,1.0662682112403021,1.0
23,CS-,1.0559279867547926,1.0
24,CS+,8.609702648913844,8.75
24,S2,6.950444888432817,6.666666666666667
24,S3,5.6914071581318595,4.833333333333333
24,S4,4.79933100208374,5.5
24,S5,4.053381665353937,2.8333333333333335
24,S6,3.495774101268108,2.8333333333333335
24,S7,2.8879944417462906,2.5
24,S8,2.2596933882947488,2.5
24,S9,1.633285417553098,2.25
24,CS-,1.1981374282526667,2.0416666666666665
25,CS+,5.767732860999262,5.972222222222222
25,S2,4.221396747051228,4.083333333333333
25,S3,3.8182727095989955,3.0
25,S4,3.7037340978670303,3.0833333333333335
25,S5,3.6594670525615522,3.0833333333333335
25,S6,3.627524800380625,3.0833333333333335
25,S7,3.572450107400167,3.0
25,S8,3.4330780844282094,2.8333333333333335
25,S9,3.0104904096049805,2.9166666666666665
25,CS-,1.940682694900279,2.7083333333333335
26,CS+,7.4965194434349245,8.264705882352942
26,S2,7.408314167014193,8.166666666666666
26,S3,7.321545326327034,7.333333333333333
26,S4,7.192307644319596,7.333333333333333
26,S5,7.070977223510953,6.916666666666667
26,S6,6.958699559400497,7.333333333333333
26,S7,6.819341663727758,6.833333333333333
26,S8,6.67683290618684,6.454545454545454
26,S9,6.525559819182414,6.333333333333333
26,CS-,6.378132571338942,3.9166666666666665
27,CS+,5.463057661192314,5.166666666666667
27,S2,5.447033585601551,5.909090909090909
27,S3,5.442147881065348,5.25
27,S4,5.4153120673981165,6.25
27,S5,5.408756982000634,4.363636363636363
27,S6,5.408328015174877,5.833333333333333
27,S7,5.400335112102347,4.916666666666667
27,S8,5.389944103718617,5.166666666666667
27,S9,5.372281197258008,5.5
27,CS-,5.360910892619641,5.541666666666667
28,CS+,9.195066812747292,8.944444444444445
28,S2,7.456607010178604,7.166666666666667
28,S3,4.944327780221589,5.416666666666667
28,S4,3.5634127851578916,3.4166666666666665
28,S5,2.672531618622938,1.5
28,S6,2.012741659843195,2.0
28,S7,1.5453164375553357,1.1666666666666667
28,S8,1.2442814671069446,1.25
28,S9,1.0760223108648779,1.0
28,CS-,1.0147284191631774,1.0
29,CS+,9.730081295474639,8.666666666666666
29,S2,9.234878182763868,8.916666666666666
29,S3,8.540688838724408,8.833333333333334
