participant,lg2d,lgphy
162,0.09111816187462549,0.040672673070596445
163,0.3148851341160008,0.25680758974513296
164,0.4143989035220721,0.25697304776372765
165,0.12868090864169024,0.21813037466771107
166,0.22065515192089857,0.22822291322381982
167,0.12767064104280412,0.22518449602618437
168,0.07723789646076964,0.13682040263937795
169,0.1439575803505062,0.27718220610527433
170,0.20231928732240279,0.17951822679661483
171,0.18921468689307777,0.22308848239667387
172,0.48657620773707194,0.20833096022340813
173,0.1690401241445011,0.06026726618757478
174,0.2061309758147038,0.25091424487765024
175,0.5334999850864923,0.36723645034723
176,0.041893819433201626,0.062054216521609744
177,0.399180145935887,0.1264750487117054
178,0.3651342706184492,0.1934882207799678
179,0.33300272413961063,0.21609337353254737
180,0.36762096481502904,0.29316233622537147
181,0.20709020895774632,0.1589453333592552
182,0.4877781449251943,0.2000404242620369
183,0.10032235371452164,0.14004155060149986
184,0.12075762511403303,0.32640651726747544
185,0.011227942492059141,0.029822322101179785
186,0.45605549782807975,0.3442358684053372
187,0.18400505071103485,0.16833563148452488
188,0.6255711617057205,0.35484797228262516
189,0.11607428170763116,0.1822549672778785
190,0.09764404358350937,0.19276747079248469
191,0.33245497408679237,0.2866343068192805
192,0.13440127713869998,0.1052561300700296
193,0.16349132009252965,0.2074699908115657
194,0.5404718253308607,0.34091669413552905
195,0.47977787046159515,0.2850482457475868
196,0.42348488152045094,0.2275466096129214
197,0.42760996118441885,0.23520616427882807
198,0.4341931796058943,0.07243116618830192
199,0.35487626351551815,0.30984509945802075
200,0.01624417502531105,0.01873777734254177
